id,name,name_norm,uic,latitude,longitude,country,time_zone,is_city,is_main_station,is_airport
1787,Dinan,Dinan,8747816,48.456764,-2.053542,FR,Europe/Paris,FALSE,FALSE,FALSE
2074,Plougonver,Plougonver,8747353,48.4584133,-3.3704584,FR,Europe/Paris,FALSE,FALSE,FALSE
1050,Rothau,Rothau,8721472,48.4590026,7.2074902,FR,Europe/Paris,FALSE,FALSE,FALSE
13026,Offenburg Kreisschulzentrum,Offenburg Kreisschulzentrum,8063797,48.459786,7.955192,DE,Europe/Berlin,FALSE,FALSE,FALSE
6910,Freudenstadt Hbf,Freudenstadt Hbf,8029492,48.460325,8.428807,DE,Europe/Berlin,FALSE,TRUE,FALSE
7622,Günzburg,Gunzburg,8002084,48.460334,10.278652,DE,Europe/Berlin,FALSE,FALSE,FALSE
11059,Bad Niedernau,Bad Niedernau,8029323,48.460766,8.896534,DE,Europe/Berlin,FALSE,FALSE,FALSE
10920,Aichach,Aichach,8002135,48.461116,11.122721,DE,Europe/Berlin,FALSE,FALSE,FALSE
943,Limersheim,Limersheim,8721227,48.4617328,7.6603581,FR,Europe/Paris,FALSE,FALSE,FALSE
1018,Obernai,Obernai,8721428,48.46219,7.48881,FR,Europe/Paris,FALSE,TRUE,FALSE
17351,Vecqueville,Vecqueville,8733817,48.463004,5.131986,FR,Europe/Paris,FALSE,FALSE,FALSE
17605,Schärding,Scharding,8101740,48.463238,13.44272,AT,Europe/Vienna,FALSE,FALSE,FALSE
28952,Obernai Passage à niveau,Obernai Passage a niveau,8766091,48.463337,7.489534,FR,Europe/Paris,FALSE,FALSE,FALSE
11828,Gablingen,Gablingen,8002066,48.463417,10.850753,DE,Europe/Berlin,FALSE,FALSE,FALSE
11784,Freudenstadt Industriegebiet,Freudenstadt Industriegebiet,8066084,48.464964,8.434938,DE,Europe/Berlin,FALSE,FALSE,FALSE
4598,Lamballe,Lamballe,8747310,48.46606,-2.511546,FR,Europe/Paris,FALSE,FALSE,FALSE
393,Vallant-St-Georges,Vallant-St-Georges,8711811,48.466168,3.899331,FR,Europe/Paris,FALSE,FALSE,FALSE
9266,Ruppes,Ruppes,8714119,48.466667,5.766667,FR,Europe/Paris,FALSE,FALSE,FALSE
11786,Freudenstadt Schulzentrum,Freudenstadt Schulzentrum,8066083,48.467409,8.421418,DE,Europe/Berlin,FALSE,FALSE,FALSE
6911,Freudenstadt Stadt,Freudenstadt Stadt,8029493,48.467777,8.410649,DE,Europe/Berlin,FALSE,FALSE,FALSE
422,Bayon,Bayon,8714121,48.468046,6.322569,FR,Europe/Paris,FALSE,FALSE,FALSE
589,Vallois,Vallois,8714802,48.468442,6.564112,FR,Europe/Paris,FALSE,FALSE,FALSE
2073,Pont-Melvez,Pont-Melvez,8747352,48.4702228,-3.3114444,FR,Europe/Paris,FALSE,FALSE,FALSE
2051,Yffiniac,Yffiniac,8747311,48.4702462,-2.6524629,FR,Europe/Paris,FALSE,FALSE,FALSE
